年度,能源別,機組名稱,開始日期,結束日期,備註
2021年,水力,大觀二#1,2021/11/19,2022/4/21,
2021年,水力,大觀二#2,2021/11/19,2022/1/9,
2021年,水力,明潭#1,2020/11/2,2021/1/28,
2021年,水力,明潭#2,2020/10/12,2021/3/20,
2021年,水力,明潭#5,2021/4/1,2021/5/31,
2021年,水力,明潭#6,2021/8/18,2021/10/9,
2021年,水力,曾文,2020/11/2,2021/1/23,
2021年,水力,圓山#1,2020/11/1,2021/4/30,
2021年,水力,圓山#2,2021/11/1,2022/4/30,
2021年,水力,粗坑#3,2021/1/11,2021/2/27,
2021年,水力,觀一#5,2020/10/5,2021/11/30,
2021年,水力,溪口,2021/4/7,2021/5/10,
2021年,水力,天輪#3,2021/3/8,2021/4/22,
2021年,水力,立霧#1,2020/11/23,2021/1/13,
2021年,水力,立霧#2,2021/1/14,2021/3/12,
2021年,水力,馬鞍,2020/10/26,2021/1/5,#1#2
2021年,水力,馬鞍#2,2021/10/8,2021/12/4,
2021年,水力,谷關#3,2021/3/22,2021/5/28,
2021年,水力,榕樹,2021/3/17,2021/7/1,
2021年,水力,鉅工#1,2021/3/22,2021/7/14,
2021年,水力,天埤#2,2021/12/27,2022/1/19,
2021年,水力,天埤#3,2021/1/2,2021/4/3,
2021年,水力,天埤#4,2021/10/1,2021/12/25,
2021年,水力,烏來#2,2021/11/22,2022/2/28,
2021年,水力,德基#1,2021/10/6,2021/12/1,
2021年,水力,萬大#2,2021/12/6,2021/12/31,
2021年,水力,卓蘭#2,2021/10/1,2021/12/21,
2021年,水力,清水,2021/10/4,2021/12/11,#1#2#3
2021年,水力,碧海,2021/10/14,2021/12/6,
2021年,核能,核二#2,2020/11/21,2021/1/5,
2021年,核能,核三#1,2021/4/7,2021/5/26,
2021年,核能,核三#2,2021/10/22,2021/12/4,
2021年,燃煤,林口#2,2020/11/21,2021/2/21,
2021年,燃煤,林口#3,2021/3/5,2021/6/1,
2021年,燃煤,台中#1,2020/11/18,2021/1/1,
2021年,燃煤,台中#4,2021/11/21,2022/1/4,
2021年,燃煤,台中#5,2021/9/1,2021/11/20,
2021年,燃煤,台中#6,2021/5/24,2021/8/17,
2021年,燃煤,台中#9,2021/2/21,2021/5/23,
2021年,燃煤,台中#10,2021/1/2,2021/2/20,
2021年,燃煤,興達#2,2021/10/1,2021/11/28,
2021年,燃煤,興達#3,2021/12/27,2022/2/28,
2021年,燃煤,興達#4,2020/12/1,2021/3/31,
2021年,燃煤,大林#1,2021/12/4,2022/3/6,
2021年,燃油,協和#4,2021/3/13,2021/4/22,
2021年,燃氣,大潭CC#1,2021/8/28,2021/10/25,GT1-1
2021年,燃氣,大潭CC#1,2021/8/24,2021/10/21,GT1-2
2021年,燃氣,大潭CC#1,2021/8/20,2021/10/17,GT1-3
2021年,燃氣,大潭CC#1,2021/8/30,2021/9/29,ST1
2021年,燃氣,大潭CC#3,2020/11/21,2021/3/11,GT3-1
2021年,燃氣,大潭CC#3,2020/11/10,2021/2/28,GT3-2
2021年,燃氣,大潭CC#3,2020/12/3,2021/1/15,ST3
2021年,燃氣,大潭CC#4,2021/11/24,2022/2/13,GT4-1
2021年,燃氣,大潭CC#4,2021/11/21,2022/2/10,GT4-2
2021年,燃氣,大潭CC#4,2021/11/24,2022/2/10,ST4
2021年,燃氣,大潭CC#5,2021/1/30,2021/3/4,GT5-1
2021年,燃氣,大潭CC#5,2021/2/4,2021/3/9,GT5-2
2021年,燃氣,大潭CC#6,2021/4/11,2021/6/30,GT6-1
2021年,燃氣,大潭CC#6,2021/4/23,2021/7/12,GT6-2
2021年,燃氣,大潭CC#6,2021/5/18,2021/6/16,ST6
2021年,燃氣,南部CC#2,2021/1/17,2021/4/3,GT2-1
2021年,燃氣,南部CC#2,2021/1/29,2021/4/10,GT2-2
2021年,燃氣,南部CC#2,2021/2/9,2021/3/23,ST20
2021年,燃氣,興達CC#1,2020/12/11,2021/2/25,GT1-1
2021年,燃氣,興達CC#1,2020/12/19,2021/3/5,GT1-2
2021年,燃氣,興達CC#1,2020/12/27,2021/3/13,GT1-3
2021年,燃氣,興達CC#1,2020/12/27,2021/2/9,ST1
2021年,燃氣,興達CC#2,2021/3/14,2021/5/25,GT2-1
2021年,燃氣,興達CC#2,2021/3/22,2021/6/2,GT2-2
2021年,燃氣,興達CC#2,2021/3/30,2021/6/10,GT2-3
2021年,燃氣,興達CC#2,2021/3/30,2021/5/14,ST2
2021年,燃氣,興達CC#3,2021/6/11,2021/8/22,GT3-1
2021年,燃氣,興達CC#3,2021/6/19,2021/8/29,GT3-2
2021年,燃氣,興達CC#3,2021/6/27,2021/9/6,GT3-3
2021年,燃氣,興達CC#3,2021/6/27,2021/8/10,ST3
2021年,燃氣,興達CC#4,2021/9/7,2021/11/18,GT4-1
2021年,燃氣,興達CC#4,2021/9/15,2021/11/26,GT4-2
2021年,燃氣,興達CC#4,2021/9/23,2021/12/3,GT4-3
2021年,燃氣,興達CC#4,2021/9/23,2021/11/7,ST4
2021年,燃氣,通霄CC#1,2020/12/1,2021/1/25,GT1-2
2021年,燃氣,通霄CC#2,2021/8/1,2021/9/26,GT2-1
2021年,燃氣,通霄CC#2,2021/8/21,2021/10/16,GT2-2
2021年,燃氣,通霄CC#2,2021/8/21,2021/9/22,ST2
2021年,燃氣,通霄CC#3,2021/10/16,2021/12/10,GT3-1
2021年,燃氣,通霄CC#3,2021/10/9,2021/12/3,GT3-2
2021年,燃氣,通霄CC#3,2021/10/16,2021/11/16,ST3
2021年,燃氣,通霄CC#6,2021/1/16,2021/3/21,GT6-1
2021年,燃氣,通霄CC#6,2021/1/16,2021/4/16,GT6-2
2021年,燃氣,通霄CC#6,2021/1/16,2021/3/5,ST6
2021年,燃氣,大林#5,2021/1/23,2021/3/1,
2021年,燃氣,大林#6,2021/4/30,2021/7/11,
2021年,輕油,核二Gas1,2021/2/22,2021/4/1,
2021年,輕油,核二Gas2,2021/4/6,2021/5/15,
2022年,水力,大觀二#1,2021/11/19,2022/4/21,
2022年,水力,大觀二#2,2021/11/19,2022/1/9,
2022年,水力,大觀二#3,2022/10/1,2022/11/19,
2022年,水力,大觀二#4,2022/10/1,2023/2/23,
2022年,水力,明潭#2,2022/2/14,2022/3/25,
2022年,水力,明潭#6,2022/9/12,2022/11/26,
2022年,水力,烏來#2,2021/11/22,2022/2/28,
2022年,水力,翡翠,2022/2/14,2022/5/31,
2022年,水力,天埤#1,2022/10/1,2022/12/26,
2022年,水力,天埤#2,2021/12/27,2022/1/19,
2022年,水力,天埤#3,2022/12/27,2023/1/16,
2022年,水力,圓山#2,2021/11/1,2022/4/30,
2022年,水力,龍溪,2022/4/19,2022/5/23,
2022年,水力,桂山#1,2022/12/26,2023/2/13,
2022年,水力,卓蘭#1,2022/10/4,2022/12/24,
2022年,水力,萬大#3,2022/10/1,2022/12/9,
2022年,水力,六龜#1,2022/10/18,2022/12/15,
2022年,水力,六龜#2,2022/10/25,2022/12/24,
2022年,水力,立霧#2,2022/12/19,2023/1/23,
2022年,水力,清水,2022/10/3,2022/12/13,#1#2#3
2022年,水力,銅門#2,2022/12/1,2023/5/31,
2022年,水力,龍澗,2022/10/3,2022/11/4,#1#2
2022年,核能,核二#2,2022/2/26,2022/4/8,
2022年,核能,核三#1,2022/11/19,2023/1/14,
2022年,燃煤,林口#1,2022/2/22,2022/5/20,
2022年,燃煤,林口#2,2022/11/8,2023/2/8,
2022年,燃煤,台中#1,2022/4/4,2022/6/5,
2022年,燃煤,台中#2,2022/11/1,2023/1/24,
2022年,燃煤,台中#4,2021/11/21,2022/1/4,
2022年,燃煤,台中#7,2022/8/7,2022/10/31,
2022年,燃煤,台中#8,2022/11/1,2023/1/24,
2022年,燃煤,台中#9,2022/6/6,2022/8/5,
2022年,燃煤,台中#10,2022/1/5,2022/4/4,
2022年,燃煤,興達#1,2022/10/1,2022/11/12,
2022年,燃煤,興達#3,2021/12/27,2022/2/28,
2022年,燃煤,興達#4,2022/12/1,2023/3/31,
2022年,燃煤,大林#1,2021/12/4,2022/3/6,
2022年,燃煤,大林#2,2022/3/7,2022/6/3,
2022年,燃油,協和#3,2022/1/26,2022/3/31,
2022年,燃油,協和#4,2022/11/21,2023/1/19,
2022年,燃氣,大潭CC#2,2022/11/10,2023/1/4,GT2-1
2022年,燃氣,大潭CC#2,2022/11/14,2023/1/8,GT2-2
2022年,燃氣,大潭CC#2,2022/11/18,2023/1/12,GT2-3
2022年,燃氣,大潭CC#2,2022/11/18,2022/12/17,ST2
2022年,燃氣,大潭CC#3,2022/4/18,2022/5/16,GT3-1
2022年,燃氣,大潭CC#3,2022/4/21,2022/5/19,GT3-2
2022年,燃氣,大潭CC#4,2021/11/24,2022/2/13,GT4-1
2022年,燃氣,大潭CC#4,2021/11/21,2022/2/10,GT4-2
2022年,燃氣,大潭CC#4,2021/11/24,2022/2/10,ST4
2022年,燃氣,大潭CC#5,2022/2/15,2022/5/6,GT5-1
2022年,燃氣,大潭CC#5,2022/2/11,2022/5/2,GT5-2
2022年,燃氣,大潭CC#5,2022/2/16,2022/3/17,ST5
2022年,燃氣,大潭CC#7,2022/3/1,2022/5/20,GT7-1
2022年,燃氣,大潭CC#7,2022/3/5,2022/5/24,GT7-2
2022年,燃氣,南部CC#1,2022/1/25,2022/4/20,GT1-1、GT1-2
2022年,燃氣,南部CC#1,2022/1/25,2022/3/8,ST1
2022年,燃氣,通霄CC#1,2022/2/7,2022/4/3,GT1-1
2022年,燃氣,通霄CC#1,2022/2/10,2022/4/7,GT1-2
2022年,燃氣,通霄CC#1,2022/3/4,2022/4/4,ST1
2022年,燃氣,通霄CC#4,2022/8/6,2022/10/17,GT4-1
2022年,燃氣,通霄CC#4,2022/8/4,2022/10/15,GT4-2
2022年,燃氣,通霄CC#4,2022/8/2,2022/10/13,GT4-3
2022年,燃氣,通霄CC#4,2022/8/6,2022/9/19,ST4
2022年,燃氣,通霄CC#5,2022/5/5,2022/7/16,GT5-1
2022年,燃氣,通霄CC#5,44684,44756.99999,GT5-2
2022年,燃氣,通霄CC#5,44682,44754.99999,GT5-3
2022年,燃氣,通霄CC#5,44686,44730.99999,ST5
